Назва,Стан,Категорія,Місцезнаходження,Переможець,"Номер лота","Стартова ціна","Ціна продажу"
"Житловий одноповерховий будинок, загальною площею 55.6 кв.м.,  що знаходиться за адресою: Закарпатська область, місто Хуст, вул. Слов'янська, 107","Торги не відбулися","Житлова нерухомість","Закарпатська обл.",,299423,742397.00,
"Нежитлові приміщення, загальною площею 5815,1 кв.м., за адресою: м. Одеса, вул. Прохоровська, 45","Торги зупинено","Нежитлове приміщення","Одеська обл.",,315804,29293775.00,
"Автомобіль Ford Fiesta, 2007 р.в.,  ДНЗ ВС1507ВМ, № кузова: WF0DXXGAJD7J29544","Очікування сплати","Легкові автомобілі","Волинська обл.","Учасник №22",318716,1150.00,15002.00
"ІПОТЕКА. 1/2 житлового будинку, з.п. 254.4 кв.м. та 1/2 земельної ділянки площею 0.067 га, кадастровий номер: 6510400000:04:002:0179, за адресою: Херсонська обл, м.Каховка, вул.Сонячна, буд.57","Реєстрація учасників","Житлова нерухомість","Херсонська обл.",,322781,192960.00,
"ІПОТЕКА. Житловий будинок загальною площею 194,4 кв.м. та земельна ділянка площею 0,0796 га, КН 2323084000:02:012:0017 за адресою: Запорізька область, м. Мелітополь, провулок 1-й Ломоносова, буд. 6","Торги припинено","Житлова нерухомість","Запорізька обл.",,326963,947871.40,
"Пластикові ємкості, в кількості 5 шт., б/в","Торги відбулися",Інше,"Черкаська обл.","Учасник №10",344961,1200.00,1200.00
"Монета номіналом ""1 рубль"", 1796 року, 1 шт.","Очікування сплати",Інше,"Сумська обл.","Учасник №24",344980,51.00,502.00
"Електрошокер у вигляді мобільного телефону, б/в","Торги відбулися",Інше,"Черкаська обл.","Учасник №3",344973,100.00,105.00
"Іпотека. Нежитлове приміщення, загальною площею 180.6 кв.м., за адресою: Дніпропетровська область, м. Дніпро, вул. Батумська, 11","Торги зупинено","Нежитлове приміщення","Дніпропетровська обл.","Учасник №17",347296,552600.00,674172.00
"Двокімнатна квартира загальною площею 57,4 кв.м., за адресою: м.Харків, вул.Маршала Батицького,буд.3,кв.15","Торги зупинено","Житлова нерухомість","Харківська обл.",,351879,493500.00,
"Автомобіль Merсedes-Benz VITO 115CDI, 2005 року випуску, сірого кольору, № кузова WDF63960313145955, ДНЗ АВ4622ВО","Торги зупинено","Легкові автомобілі","Вінницька обл.",,352342,101491.50,
"База відпочинку «Селена»,  загальною  площею  1166.7 кв.м.,  розташована  за адресою : Запорізька область, Якимівський район, смт. Кирилівка, вул. Коса Федотова, 66","Торги не відбулися","Комерційна нерухомість","Донецька обл.",,359123,4610560.00,
"Картина ""Собор""","Торги не відбулися",Декор,"Черкаська обл.",,361000,150.00,0.00
"ІПОТЕКА. Майновий комплекс, загальною площею 107,4 кв.м., за адресою: Запорізька область,  Оріхівський район, м. Оріхів, вул. Елеваторна, буд. 2-Е","Торги припинено","Комерційна нерухомість","Запорізька обл.",,362235,81944.00,
"Мікрохвильова піч ""Samsung"" RE1330F","Торги не відбулися","Мала побутова техніка","Харківська обл.",,363869,315.00,0.00
"Картина ""Зелені гори""","Торги не відбулися",Декор,"Черкаська обл.",,363936,100.00,0.00
"Тюль білого та червоно-рожевого кольору","Торги не відбулися",Декор,"Черкаська обл.",,364002,50.00,0.00
"Велосипед ARDIS, червоного кольору","Торги відбулися",Інше,"Черкаська обл.","Учасник №3",367570,975.00,1267.50
"Ліжко двоспальне","Торги не відбулися",Меблі,"Черкаська обл.",,368540,700.00,0.00
"Напівпричіп бортовий тентований SCHMITZ CARGOBULL, 2005 року випуску, реєстраційний номер АА4321ХХ, номер шасі (рами, кузова): WSM00000003015707","Торги не відбулися",Причепи,"Київська обл.",,373101,56650.00,0.00
"Холодильник VESTFROST (б/в), 1 од.","Торги відбулися","Велика побутова техніка","Донецька обл.","Учасник №4",373190,1050.00,2152.50
"Поліграфічне обладнання - комплекс цифрового офсетного друку HP Indigo Press 5500 Seven-Color, 2007 р.в., серійний номер: 30002393","Торги відбулися",Обладнання,"Одеська обл.","Учасник №6",369458,159332.00,160000.00
"Двокімнатна квартира, загальною площею 43.4 кв.м., що знаходиться за адресою: м.Київ, вул. Академіка Заболотного, буд 142, кв. 44","Торги відбулися","Житлова нерухомість",м.Київ,"Учасник №23",375118,484604.40,484605.00
"Земельна ділянка, загальною площею 0,01 га., кадастровий номер 6522384300:02:041:0042 розташована: Херсонська область, Голопристанський район, с. Залізний Порт, вул. Морська","Торги зупинено","Земельні ділянки","Херсонська обл.",,376345,22900.00,
"Столовий набір, що складається з металевого графину та 6 металевих чарок","Торги не відбулися",Інше,"Черкаська обл.",,376419,150.00,0.00
"Мобільний телефон ""Sony Xperia"", фіолетового кольору, б/в","Торги не відбулися","Мобільні телефони","Черкаська обл.",,376292,50.00,0.00
"Марки в асортименті, 431 шт.","Торги відбулися",Інше,"Сумська обл.","Учасник №2",376987,159.47,250.01
"ІПОТЕКА. Будівля пилорами, літ. Г, загальною площею 267.6 кв.м., що знаходиться за адресою: Закарпатська область, Великоберезнянський район, смт. Великий Березний, вул. Гагаріна, 2","Підписання протоколу",Будівлі,"Закарпатська обл.","Учасник №1",377764,178500.00,178500.00
"Роутер марки ""D-Link, DIR-300"", чорного кольору, б/в","Торги не відбулися","Серверне обладнання","Черкаська обл.",,379638,52.50,0.00
"Зерно озимої пшениці 4 класу, врожаю 2019 року, в кількості 24,780 т.","Торги припинено","Сільгосп продукція","Запорізька обл.",,380032,53859.33,
"ІПОТЕКА. Нежитлова будівля кафе (літ. А), загальною площею 391,8 кв.м. на земельній ділянці площею 1085 кв.м., за адресою: м. Запоріжжя, вул. Новокузнецька, 14-А","Торги припинено","Комерційна нерухомість","Запорізька обл.",,380860,703231.48,
"ІПОТЕКА. Двокімнатна квартира № 50, загальною площею 55.0 кв.м., що знаходиться за адресою:  м. Київ, вул. Бажова, буд. 15/20","Торги відбулися","Житлова нерухомість",м.Київ,"Учасник №31",381915,819152.60,901068.00
"Земельна ділянка площею 0,228 га, кадастровий номер: 0524587900:01:004:0379, яка розташована за адресою: Вінницька область, Тиврівський район, с. Яришівка","Торги відбулися","Земельні ділянки","Вінницька обл.","Учасник №1",381964,21395.35,21395.35
"Культиватор  марки КРНВ 5,6, 2006 рік випуску, номер шасі 04-11443","Торги не відбулися",Сільгосптехніка,"Дніпропетровська обл.",,381898,7000.00,0.00
"Транспортний засіб КРАЗ 6510, 1992 року випуску, реєстраційний номер 1053КРР, № кузову: X1C006510N0741790","Очікування сплати","Вантажні автомобілі",м.Київ,"Учасник №26",382745,27272.00,53300.00
"Екскаватор гусеничний ЕО-4121-Б, 1987 року випуску, інвентарний №417737","Торги не відбулися",Спецтехніка,"Львівська обл.",,382760,41382.00,0.00
"1/2 частина трикімнатної квартири загальною площею 65,8 кв.м., за адресою: м.Харків, вул.Академіка Павлова, буд.140,кв.69","Торги не відбулися","Житлова нерухомість","Харківська обл.",,381913,324600.00,
"Колонки Sony, б/в","Очікування сплати",Аудіотехніка,"Волинська обл.","Учасник №8",383097,168.75,254.00
"Стереосистема Амфатон, б/в","Торги відбулися",Аудіотехніка,"Волинська обл.","Учасник №6",383096,384.75,552.01
"Вантажний вагон №59241703, тип 5904, 1992 року побудови, зеленого кольору","Торги зупинено",Спецтехніка,"Черкаська обл.",,383703,473980.00,
"Орден ""Червоної зірки"", 2 шт.","Торги відбулися",Інше,"Сумська обл.","Учасник №26",383962,468.00,1872.00
"Шуруповерт акумуляторний "" Top Craft TCC-1800"", зеленого кольору","Торги відбулися",Інструменти,"Черкаська обл.","Учасник №1",384310,150.00,167.70
"Телевізор ""SHARP COLOUR TV"", чорного кольору, б/в","Торги не відбулися",Телевізори,"Черкаська обл.",,384313,187.50,0.00
"Салатник скляний","Торги відбулися",Інше,"Черкаська обл.","Учасник №1",384349,10.00,10.00
"Салатник синього кольору","Торги відбулися",Інше,"Черкаська обл.","Учасник №1",384355,10.00,10.00
"Транспортний засіб FAW CA1051K26L4R5, 2007 року випуску, синього кольору, номер кузова: Y7CCA105170076275, ДНЗ АВ4364ВН","Торги зупинено","Вантажні автомобілі","Вінницька обл.","Учасник №5",384643,17731.00,17731.00
"Предмет іпотеки: земельна ділянка для індивідуального дачного будівництва, площею 0,0999 га, кадастровий № 5324083200:00:009:0002, за адресою: Полтавська область,  Полтавський район, Мачухівська сільська рада","Торги припинено","Земельні ділянки","Полтавська обл.","Учасник №3",385214,20500.00,21730.00
"Системний блок у корпусі чорного кольору","Торги відбулися",Комп'ютери,"Запорізька обл.","Учасник №5",386503,500.00,525.00
"DVD відеоадаптер ASUS","Очікування сплати",Інше,"Черкаська обл.","Учасник №1",386871,15.00,21.75
"ІПОТЕКА: Трикімнатна квартира № 29, площею 77.3 кв.м., за адресою: Херсонська обл., м. Нова Каховка, проспект Перемоги, 12","Реєстрація учасників","Житлова нерухомість",м.Київ,,387050,486320.00,
"Телевізор ""Philips"" чорного кольору, Model No 42PFL 3405H/12, SERIAL No RJ1F1043029643, HI-ROT OK, кабель відсутній ","Торги відбулися",Телевізори,"Тернопільська обл.","Учасник №4",387447,1500.00,1500.00
"Транспортний засіб  DAEWOO NEXIA, 2008 року випуску, реєстраційний номер АА6318HT, № шасі( кузова, рами): XWB3L32UD8A001883","Торги відбулися","Легкові автомобілі",м.Київ,"Учасник №42",387520,36367.50,46186.80
"Телевізор ""SAMSUNG"", чорного кольору, б/в","Очікування сплати",Телевізори,"Черкаська обл.","Учасник №17",387754,2250.00,2476.00
"Транспортний засіб FAW CA1051K26L4R5, 2006 року випуску, синього кольору, номер кузова: Y7CCA105160062898, ДНЗ АВ4342ВН","Торги зупинено","Вантажні автомобілі","Вінницька обл.",,388923,17772.00,
"Монети в асортименті, 18 шт.","Торги відбулися",Інше,"Сумська обл.","Учасник №3",388947,146.61,418.00
"Кухонний куточок, зелено-рожевого кольору, б/в","Торги не відбулися",Меблі,"Черкаська обл.",,389116,450.00,0.00
"Лебідка з електродвигуном б/в","Складання акту",Інструменти,"Житомирська обл.","Учасник №19",389255,621.00,874.00
"Екскаватор гусеничний CATERPILLAR 365 C, реєстраційний номер Т06156АІ, 2005 року виробництва, ідентифікаційний №CAN0365CCMMCY00270","Торги зупинено",Спецтехніка,"Київська обл.","Учасник №18",388379,817183.25,900000.00
"Екскаватор гусеничний CATERPILLAR 320 D, реєстраційний номер Т06188АІ, 2005 року виробництва, ідентифікаційний №CAT0320DCCXY00181","Торги зупинено",Спецтехніка,"Київська обл.","Учасник №30",388371,670897.99,1408885.79
"ІПОТЕКА. Трикімнатна квартира, загальною площею 62,85 кв.м., за адресою: м. Запоріжжя, вул. Чотирнадцятого Жовтня, буд. 5, кв. 235","Торги зупинено","Житлова нерухомість","Запорізька обл.",,390007,335000.00,
"ПРЕДМЕТ ІПОТЕКИ. Двохкімнатна квартира, загальною площею 45,5 кв.м., жилою площею 29,2 кв.м., що знаходиться за адресою: м. Сміла,  вул. Б.Хмельницького, буд. 38, кв. 10 ","Торги відбулися","Житлова нерухомість","Черкаська обл.","Учасник №4",390684,106960.00,106960.00
"ІПОТЕКА: Нежитлові будівлі загальною площею 7181.2 м.кв., за адресою: м. Херсон, вул. Нафтовиків, буд. 15 - А","Торги не відбулися",Будівлі,"Херсонська обл.",,391101,2484695.00,
"Комп'ютерна мишка ""Genius""","Торги не відбулися",Комплектуючі,"Черкаська обл.",,391126,5.00,0.00
"ІПОТЕКА. Майстерні з випуску спортивно-туристичного знаряддя з офісними приміщеннями та магазини з будівлями загальною площею 3518.6 м.кв. які розташовані за адресою: м. Херсон, вул. Робоча, буд. 82-А","Торги не відбулися",Будівлі,"Херсонська обл.",,391121,1523554.00,
"Транспортний засіб  CHEVROLET EPICA LF69K, 2008 року випуску, реєстраційний номер BB4492BB, № шасі( кузова, рами): Y6DLF69KE8B125227, KL1LF69KE8B125227","Торги відбулися","Легкові автомобілі",м.Київ,"Учасник №17",391186,26850.00,26850.00
"Ручна пилка по деревині, б/в","Торги не відбулися",Інструменти,"Черкаська обл.",,391262,5.00,0.00
"Металева автомобільна корба","Торги не відбулися",Інше,"Черкаська обл.",,391293,5.00,0.00
"Металева кувалда","Торги не відбулися",Інструменти,"Черкаська обл.",,391482,5.00,0.00
"Заточний станок 3В633","Очікування сплати",Обладнання,"Житомирська обл.","Учасник №4",391168,1873.00,1874.00
"Предмет іпотеки. Кафе з підсобними приміщеннями загальною площею 449,0 м.кв., що знаходиться за адресою: Сумська обл., Роменський р-н, с. Бобрик, вул. Леніна, 66","Торги не відбулися","Комерційна нерухомість","Сумська обл.",,392264,215502.00,0.00
"Відкрита шафа з полицями, б/в","Торги не відбулися",Меблі,"Волинська обл.",,392356,30.00,0.00
"Біла тумба, б/в","Очікування сплати",Меблі,"Волинська обл.","Учасник №9",392362,30.00,85.00
"ІПОТЕКА: Трикімнатна квартира № 106, площею 70.7 кв.м., за адресою: Київська обл., м. Біла Церква, вул. Таращанська, 163","Торги відбулися","Житлова нерухомість",м.Київ,"Учасник №7",392506,532000.00,532000.00
"Холодильна вітрина ""Еліпс"" ВХ000РЕ (Elipse SO L=3750 Sn0809170), 2008 р.в.","Торги відбулися",Обладнання,"Сумська обл.","Учасник №6",392933,5225.00,5225.00
"Холодильна пристінна вітрина ""Медуза"" (MEDUSA FV L=3750 Sn0809223), 2008 р.в.","Торги відбулися",Обладнання,"Сумська обл.","Учасник №5",392938,5700.00,5700.00
"Нежиле приміщення (СТО-КАФЕ) літ. А, площею 42.9 кв.м., літ. Б, площею 30.9 кв.м., літ. А, площею 125.8 кв.м., за адресою: Київська обл., Києво-Святошинський р-н, м. Боярка, вул. Білогородська, буд. 144А","Торги не відбулися","Нежитлове приміщення",м.Київ,,392854,3737500.00,
"Монітор Wiew Sonic VA 703, чорного кольору, б/в","Складання акту",Монітори,"Черкаська обл.","Учасник №3",393134,200.00,200.00
"Музичний центр з колонками AIWA, чорного кольору, б/в","Торги не відбулися",Аудіотехніка,"Черкаська обл.",,393136,250.00,0.00
"Тумба чорного кольору, б/в","Складання акту",Меблі,"Волинська обл.","Учасник №4",393313,50.00,55.00
"Легковий автомобіль Volkswagen Golf, ДНЗ: 08591МТ, № кузова: WVWZZZ1HZNW441211, 1992 р.в., червоного кольору","Торги відбулися","Легкові автомобілі","Черкаська обл.","Учасник №15",393404,30900.00,30900.00
"ІПОТЕКА: Двокімнатна квартира № 217, площею 52.00 кв.м., за адресою: м. Київ, проспект Героїв Сталінграда, 48","Торги зупинено","Житлова нерухомість",м.Київ,,393570,825808.00,
"Герметик силіконовий ""Wacker 440"" 12 уп.; ущільнювач ""Deventer"" в асортименті 2400 М; лак різних торгових марок - 250 л","Торги відбулися",Інше,"Львівська обл.","Учасник №2",393578,52561.60,52561.60
"Земельна ділянка, площею 0.0497 га, кадастровий номер 7425585500:09:000:0866, що розташована за адресою: Чернігівська область, Чернігівський район, Новобілоусівська сільська рада, садівниче товариство ""Деснянка"", № 481","Очікування сплати","Земельні ділянки",м.Київ,"Учасник №8",394364,7210.00,14059.50
"Комплект картин із зображенням жінки, б/в","Торги відбулися",Декор,"Черкаська обл.","Учасник №4",394396,100.00,110.00
"Вагонка білого кольору (22 уп. по 9 штук) у кількості 17 штук","Торги не відбулися","Будівельні матеріали","Чернігівська обл.",,394523,2000.00,0.00
"Транспортний засіб: причіп 2ПТС-4, 1990 року випуску, ДНЗ 14105ВТ","Торги відбулися",Причепи,"Херсонська обл.","Учасник №15",394745,4900.00,8120.00
"ІПОТЕКА: Земельна ділянка, площею 0,151 га, кадастровий номер: 3221481501:01:043:0002, що знаходиться за адресою: Київська область, Васильківський район, село Гвоздів","Торги відбулися","Земельні ділянки",м.Київ,"Учасник №4",394766,119000.00,119000.00
"Колесо, б/в","Складання акту",Запчастини/аксесуари,"Волинська обл.","Учасник №2",394911,93.75,301.00
"Автомобіль RENAULT KANGOO 2013 року випуску, д.н. АМ0537СВ, кузов №VF1FW15M548950149","Торги відбулися","Легкові автомобілі","Дніпропетровська обл.","Учасник №46",394742,80700.00,150000.00
"Т/З марки ВАЗ, модель 21103, 2002 року випуску, ДНЗ 78909РЕ, кузов № ХТА21103020547993, зеленого кольору","Складання акту","Легкові автомобілі","Закарпатська обл.","Учасник №27",395150,32865.50,32865.50
"Т/З марки PEUGEOT, модель 406, 2006 року випуску, реєстраційний номерний знак MI721CT, кузов № VF38BLFYE80030477, зеленого кольору","Торги не відбулися","Легкові автомобілі","Закарпатська обл.",,395193,30849.65,0.00
"Сумка рогозяна, в кількості 1 шт.","Очікування сплати",Інше,"Черкаська обл.","Учасник №2",395282,0.75,25.00
"Металевий лом, б/в","Торги не відбулися",Інше,"Черкаська обл.",,395297,3.75,0.00
"Мотоцикл ІЖ Юпітер-5","Очікування сплати",Інше,"Черкаська обл.","Учасник №17",395410,455.00,2139.00
"Т/З марки ВАЗ, модель 217030, 2010 року випуску, ДНЗ АО1346ВА, кузов № ХТА217030В0278963, білого кольору","Торги відбулися","Легкові автомобілі","Закарпатська обл.","Учасник №52",395515,59535.00,81000.00
"Холодильна вітрина ""Еліпс"" ВХ000РЕ (Elipse SO L=2500 Sn0809169), 2008 р.в.","Торги відбулися",Обладнання,"Сумська обл.","Учасник №2",395542,1353.75,1353.75
"Холодильна пристінна вітрина ""Медуза"" (MEDUSA CP L=2500 Sn0809221), 2008 р.в.","Торги відбулися",Обладнання,"Сумська обл.","Учасник №3",395544,2992.50,6550.00
"Холодильна пристінна вітрина ""Медуза"" (MEDUSA CP L=1875 Sn0809222), 2008 р.в.","Торги відбулися",Обладнання,"Сумська обл.","Учасник №4",395546,3420.00,7500.00
"Трансформатор з трансформаторною підстанцією (ТР-Р ІООкВа), 10/04 КВ","Торги відбулися",Інше,"Запорізька обл.","Учасник №16",395609,6765.00,6770.00
"Транспортний засіб БАЗ АО79.23 Еталон, 2007 року випуску, номер кузову Y7FA0792370003343, державний номер ВТ1504АА","Торги не відбулися",Автобуси,"Херсонська обл.",,395828,69450.00,0.00
"Іпотека: нежитлова будівля ПТО, загальною площею 999,3 кв.м., яка розташована за адресою: Полтавська область, м. Лубни, вул. Лубенського Петра, 51","Торги зупинено",Будівлі,"Полтавська обл.","Учасник №13",395863,114000.00,600000.00
"Предмет іпотеки: гараж, загальною площею 784,2 кв.м., розташований за адресою: Полтавська область, м. Лубни, вул. Лубенського Петра, 7","Торги зупинено",Гаражі/стоянки,"Полтавська обл.","Учасник №12",395862,89400.00,640000.00
"Предмет іпотеки: гараж, загальною площею 784,2 кв.м., розташований за адресою: Полтавська область, м. Лубни, вул. Лубенського Петра, 9","Торги зупинено",Гаражі/стоянки,"Полтавська обл.","Учасник №10",395861,89400.00,258366.00
"Мобільний телефон ""Iphone"" 7 Apple А1778, без упаковки виробника, робочий стан не перевірявся, в кількості 2 шт.","Торги відбулися","Мобільні телефони",м.Київ,"Учасник №4",396154,8976.83,9425.67
"Навушники wireless tws-3, нові","Торги відбулися",Аудіотехніка,"Вінницька обл.","Учасник №7",396604,150.00,151.00
"Системний блок ""HP"", чорного кольору","Торги відбулися",Комп'ютери,"Черкаська обл.","Учасник №2",396735,450.00,450.00
"Мобільний телефон IPhone 5S, білого кольору model A1533, б/в","Торги не відбулися","Мобільні телефони",м.Київ,,397097,779.74,0.00
"Кораблі декоративні у кількості 8 шт","Торги відбулися",Декор,"Івано-Франківська обл.","Учасник №22",396983,50.00,85.00
"Акустичні динаміки Alphard в кількості 4 шт","Торги відбулися","Аксесуари та інше","Івано-Франківська обл.","Учасник №7",397130,200.00,1100.00
"Сабвуфер Luxeon","Торги відбулися","Аксесуари та інше","Івано-Франківська обл.","Учасник №4",397138,100.00,155.00
"Вантажний автомобіль КРАЗ 65101, 1994 року випуску, ДНЗ: 46916ЕВ, бежевого кольору, номер кузова (шасі, рами): R0770501","Торги відбулися","Вантажні автомобілі","Донецька обл.","Учасник №7",397331,29475.00,29476.00
"Мотоцикл YIBEN YB 150T - 17, чорного кольору, в робочому стані, д.н.з.: СВ4008АА, 2013 року випуску, (VIN) LYDTCKH01D1200120","Торги не відбулися",Мототранспорт,"Чернігівська обл.",,397332,4739.85,0.00
"Житловий будинок з надвірними спорудами, загальною площею 31,6 кв.м., що знаходиться за адресою: Черкаська обл., Чигиринський р-н, с. Вітове, вул. Гущівська, 48","Торги відбулися","Житлова нерухомість","Черкаська обл.","Учасник №3",397759,9870.00,9870.00
"Фурнітура до дверей: 1488шт. броненакладок, 210шт. врізних замків, 60шт. дверних ручок","Торги відбулися",Інше,"Волинська обл.","Учасник №6",397861,29250.00,29250.00
"Саморобні санки","Торги не відбулися",Інше,"Черкаська обл.",,398136,2.50,0.00
"Іпотека. Трикімнатна квартира загальною площею 65,6 кв.м. за адресою: Дніпропетровська обл., м.Кривий Ріг, м-н Сонячний, буд. 11, кв. 92","Реєстрація учасників","Житлова нерухомість","Дніпропетровська обл.",,398194,378970.00,
"Сівалка марки Борго 8810-50/6350,  2006р.в,  реєстраційний номер №04-05906, заводський №38650","Торги не відбулися",Сільгосптехніка,"Дніпропетровська обл.",,398950,4860.00,0.00
"Сушильна установка PEDROTTI 220-250, 2003р.в., реєстраційний номер №04-06456","Торги відбулися",Обладнання,"Дніпропетровська обл.","Учасник №2",398866,9450.00,15120.00
"Принтер ""EPSON STYLUS PHOTO 1410""","Торги відбулися",Оргтехніка,"Черкаська обл.","Учасник №1",399123,1000.00,1051.86
"Дводіапазонний модем ZyXEL ADSL2+Annex A/B з портом Ethernet","Торги не відбулися",Інше,"Черкаська обл.",,399847,50.00,0.00
"Годинник Michаel Kors","Торги відбулися",Аксесуари,"Черкаська обл.","Учасник №1",399849,50.00,50.00
"Huawei HG532e ","Торги не відбулися","Серверне обладнання","Черкаська обл.",,399853,50.00,0.00
"Електрошоковий пристрій №1102, чорного кольору, б/в","Торги не відбулися",Інше,"Черкаська обл.",,399867,100.00,0.00
"Легковий автомобіль TOYOTA LAND CRUISER 150 АХ5017СХ, 2010 року випуску, кузов №JTEBH3FJ3A5004840","Очікування сплати","Легкові автомобілі","Харківська обл.","Учасник №168",399936,9273.00,342173.70
"WiFi-Роутер TP-LINK","Торги не відбулися","Серверне обладнання","Івано-Франківська обл.",,400070,75.00,0.00
"Вантажний автомобіль ГАЗ-3307 1992 року випуску зав. №1419362 днз.5018ХАФ","Реєстрація учасників","Вантажні автомобілі","Харківська обл.",,400342,7319.12,
"Ікони в кількості 3 шт","Торги не відбулися",Інше,"Івано-Франківська обл.",,400401,37.50,0.00
"Насіння кукурудзи 8,9 кг.  в 30 мішках","Складання акту","Сільгосп продукція","Волинська обл.","Учасник №5",400147,1688.00,18652.40
"Шини б/в марки NOKIA, 4шт.","Торги відбулися",Запчастини/аксесуари,"Волинська обл.","Учасник №1",400120,2789.64,4779.99
"Зерно соняшника вагою 7806 кг","Торги відбулися","Сільгосп продукція","Дніпропетровська обл.","Учасник №5",400692,40220.25,40220.25
"Автомобіль MAN марки L2000, 2000 р.в., державний номерний знак АЕ0264АК, VIN: WMAL20F709G112875","Очікування сплати","Вантажні автомобілі","Дніпропетровська обл.","Учасник №36",400669,70750.00,81362.50
"Приціл ""Tasco"" 3-9*50mm bucksight - 1 шт., приціл ""Bushnell"" 4*32 waterproof 76-2243 - 1 шт., приціл ""UTG"" 3-9*32 1"" bugbuster scope - 1 шт., коліматорний приціл ""Sight mark"" - 1 шт.","Торги не відбулися",Інше,"Львівська обл.",,400887,3262.70,0.00
"Антифріз Luxe 40, 1 л, в кількості 2 шт.","Торги відбулися",Запчастини/аксесуари,"Кіровоградська обл.","Учасник №2",400902,50.00,61.55
"Антифріз Long Life, 5 л","Торги не відбулися",Запчастини/аксесуари,"Кіровоградська обл.",,400904,125.00,0.00
"Антифріз Luxe 40, 10 л","Торги відбулися",Запчастини/аксесуари,"Кіровоградська обл.","Учасник №2",400908,230.00,281.00
"Мастило Mobil super 5W30, 1 л","Торги відбулися",Запчастини/аксесуари,"Кіровоградська обл.","Учасник №2",400916,105.00,165.30
"Антифріз Luxe 40, 1 л, в кількості 3 шт.","Торги відбулися",Запчастини/аксесуари,"Кіровоградська обл.","Учасник №3",400971,75.00,111.00
"Антифріз Luxe 40, 5 л, в кількості 2 шт.","Торги відбулися",Запчастини/аксесуари,"Кіровоградська обл.","Учасник №5",400990,230.00,301.00
"Мастило Luxe 80W85, 4 л, в кількості 2 шт.","Торги відбулися",Запчастини/аксесуари,"Кіровоградська обл.","Учасник №3",400991,240.00,301.00
"Мастило Luxe 80W90, 3 л, в кількості 3 шт.","Торги відбулися",Запчастини/аксесуари,"Кіровоградська обл.","Учасник №4",400998,285.00,317.55
